nohup: ignoring input

Loading checkpoint shards:   0%|          | 0/2 [00:00<?, ?it/s]
Loading checkpoint shards:  50%|█████     | 1/2 [00:05<00:05,  5.90s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:10<00:00,  5.30s/it]
Loading checkpoint shards: 100%|██████████| 2/2 [00:10<00:00,  5.39s/it]

  0%|          | 0/276 [00:00<?, ?it/s]The following generation flags are not valid and may be ignored: ['temperature', 'top_p']. Set `TRANSFORMERS_VERBOSITY=info` for more details.

  0%|          | 1/276 [01:15<5:46:08, 75.52s/it]
  1%|          | 2/276 [02:25<5:30:24, 72.35s/it]
  1%|          | 3/276 [03:30<5:13:34, 68.92s/it]
  1%|▏         | 4/276 [05:53<7:24:42, 98.10s/it]
  2%|▏         | 5/276 [08:28<8:56:44, 118.84s/it]
  2%|▏         | 6/276 [10:58<9:41:11, 129.15s/it]
  3%|▎         | 7/276 [12:09<8:14:02, 110.19s/it]
  3%|▎         | 8/276 [13:09<7:00:36, 94.17s/it] 
  3%|▎         | 9/276 [14:44<7:00:35, 94.52s/it]
  4%|▎         | 10/276 [17:28<8:34:13, 115.99s/it]
  4%|▍         | 11/276 [19:01<8:00:46, 108.85s/it]
  4%|▍         | 12/276 [21:56<9:28:14, 129.15s/it]
  5%|▍         | 13/276 [24:00<9:19:21, 127.61s/it]
  5%|▌         | 14/276 [25:49<8:51:54, 121.81s/it]
  5%|▌         | 15/276 [27:22<8:12:13, 113.16s/it]
  6%|▌         | 16/276 [29:04<7:56:07, 109.88s/it]
  6%|▌         | 17/276 [36:58<15:46:23, 219.24s/it]
  7%|▋         | 18/276 [38:41<13:13:27, 184.53s/it]
  7%|▋         | 19/276 [40:40<11:46:09, 164.86s/it]
  7%|▋         | 20/276 [42:18<10:17:11, 144.65s/it]
  8%|▊         | 21/276 [50:50<18:03:07, 254.85s/it]
  8%|▊         | 22/276 [52:38<14:52:28, 210.82s/it]
  8%|▊         | 23/276 [54:01<12:07:15, 172.47s/it]
  9%|▊         | 24/276 [58:54<14:36:29, 208.69s/it]
  9%|▉         | 25/276 [1:01:15<13:07:36, 188.27s/it]
  9%|▉         | 26/276 [1:09:22<19:18:14, 277.98s/it]
 10%|▉         | 27/276 [1:14:18<19:35:53, 283.35s/it]
 10%|█         | 28/276 [1:15:59<15:45:12, 228.68s/it]
 11%|█         | 29/276 [1:22:41<19:15:50, 280.77s/it]
 11%|█         | 30/276 [1:24:24<15:32:35, 227.46s/it]
 11%|█         | 31/276 [1:26:13<13:03:36, 191.90s/it]
 12%|█▏        | 32/276 [1:27:30<10:39:30, 157.26s/it]
 12%|█▏        | 33/276 [1:28:59<9:13:45, 136.73s/it] 
 12%|█▏        | 34/276 [1:31:10<9:05:35, 135.27s/it]
 13%|█▎        | 35/276 [1:32:34<8:00:54, 119.73s/it]
 13%|█▎        | 36/276 [1:34:25<7:48:17, 117.07s/it]
 13%|█▎        | 37/276 [1:35:49<7:07:20, 107.28s/it]
 14%|█▍        | 38/276 [1:37:53<7:24:55, 112.16s/it]
 14%|█▍        | 39/276 [1:42:09<10:13:25, 155.30s/it]
 14%|█▍        | 40/276 [1:43:42<8:57:42, 136.71s/it] 
 15%|█▍        | 41/276 [1:48:11<11:31:16, 176.50s/it]
 15%|█▌        | 42/276 [1:49:54<10:01:25, 154.21s/it]
 16%|█▌        | 43/276 [1:51:06<8:23:58, 129.78s/it] 
 16%|█▌        | 44/276 [1:56:14<11:48:25, 183.21s/it]
 16%|█▋        | 45/276 [1:59:38<12:08:33, 189.24s/it]
 17%|█▋        | 46/276 [2:01:20<10:25:10, 163.09s/it]
 17%|█▋        | 47/276 [2:03:07<9:18:20, 146.29s/it] 
 17%|█▋        | 48/276 [2:04:51<8:28:10, 133.73s/it]
 18%|█▊        | 49/276 [2:07:02<8:22:22, 132.78s/it]
 18%|█▊        | 50/276 [2:07:48<6:42:33, 106.87s/it]
 18%|█▊        | 51/276 [2:12:06<9:30:26, 152.12s/it]
 19%|█▉        | 52/276 [2:14:37<9:26:35, 151.77s/it]
 19%|█▉        | 53/276 [2:21:02<13:44:55, 221.95s/it]
 20%|█▉        | 54/276 [2:23:10<11:55:56, 193.50s/it]
 20%|█▉        | 55/276 [2:28:49<14:33:27, 237.14s/it]
 20%|██        | 56/276 [2:30:29<11:58:59, 196.09s/it]
 21%|██        | 57/276 [2:35:34<13:55:25, 228.88s/it]
 21%|██        | 58/276 [2:37:19<11:36:20, 191.66s/it]
 21%|██▏       | 59/276 [2:38:43<9:35:54, 159.24s/it] 
 22%|██▏       | 60/276 [2:43:23<11:43:50, 195.51s/it]
 22%|██▏       | 61/276 [2:44:38<9:31:29, 159.49s/it] 
 22%|██▏       | 62/276 [2:45:29<7:32:30, 126.87s/it]
 23%|██▎       | 63/276 [2:46:23<6:12:55, 105.05s/it]
 23%|██▎       | 64/276 [2:47:26<5:26:41, 92.46s/it] 
 24%|██▎       | 65/276 [2:48:32<4:56:54, 84.43s/it]
 24%|██▍       | 66/276 [2:49:13<4:09:33, 71.30s/it]
 24%|██▍       | 67/276 [2:50:35<4:20:11, 74.70s/it]
 25%|██▍       | 68/276 [2:51:43<4:11:36, 72.58s/it]
 25%|██▌       | 69/276 [2:52:58<4:13:13, 73.40s/it]
 25%|██▌       | 70/276 [2:54:12<4:12:06, 73.43s/it]
